"Beer", "Style"
"Free Will Stayed Tuned","Uncle Bob"
"Three Heads Tiger Blood","dunder"
"Glutenberg Stout","what is life"
"Burial Skillet Donut Stout","dunder"
"Springhouse Lupu A Go Go","Keith Stone"
"Firestone Walker Leo Vs Ursus Wookus","dunder"
"Half Acre Daisy Capra","something cool"
"Rogue Straight Outta Newport","something cool"
"Black Hog Piglet Dipa","Uncle Bob"
"New Belgium Juicy Haze","Uncle Bob"
"Stable 12 Azacca Ho Ipa","Uncle Bob"
"Conshohocken Inner Dinosaur Rye Ipa","catch me outside"
"Peak Super Juice","what is life"
"Locust Lane Three Tun Ipa","what is life"
"St. Benjamin Electric Dipa","ballpit"
"Liquid Hero Dimensional Being Ipa","what is life"
"Peak Highball Ginger Mule","justforkingaround"
"D9 Swell Rider Tangerine Ipa","Adam.jpg"
"Knee Deep Auburn Pale Ale","ballpit"
"Hermit Thrush Dizzy Vicar","arugula"
"Modern Times Black House Oat Stout","silly style"
"Glutenberg White Ale","Adam.jpg"
"Conshohocken Life Coach Session Ipa","what is life"
"Conshohocken Blueberry Berliner Weisse","silly style"
"Black Hog Strawberry Gose","capstone"
"Breckenridge Nitro Chocolate Orange Stout","dunder"
"Springhouse Planet Bean Coffee Stout","Adam.jpg"
"Otter Creek Backseat Berner","Keith Stone"
"Springhouse Citra Must Be Destroyed","justforkingaround"
"Root Sellers Hard Ginger Ale","Keith Stone"
"Black Hog Hog Water","what is life"
"Modern Times City Of The Sun","jawn"
"D9 Brown Sugar Brown Cow Mocha Brown","something cool"
"Evil Twin Molotov Cocktail","Adam.jpg"
"Magic Hat Taken For Granite Tfg","silly style"
"Half Acre Plane Wave","dunder"
"Evil Twin I'Ve Always Felt Closer To Ipa'S","arugula"
"Glutenberg Red Ale","arugula"
"Two Roads Ground Loop","justforkingaround"
"Council Brewing In The Blind","Uncle Bob"
"Stable 12 Underdog Lager","silly style"
"Liquid Hero Loopyelin","Keith Stone"
"Urban Village Sofa King","capstone"
"Foreign Objects Chaos Therapy","something cool"
"Nola Brewing Spud Heavy Iipa","justforkingaround"
"Blue Point Mosaic Ipa","catch me outside"
"Peak Highball Grapefruit","jawn"
"Conshohocken H-Town","jawn"
"Clown Shoes Vic Secret Space Cake","dunder"
"Fulton Specter Ipa","capstone"
"Manayunk Day Dreamin Passionfruit","catch me outside"
"Stillwater Extra Dry","Adam.jpg"
"Glutenberg Ipa","something cool"
"Against The Grain Pile Of Face","Keith Stone"
"Manayunk Sour Resin Project #3","something cool"
"Against The Grain Brown Note","ballpit"
"Peak Super Fresh","justforkingaround"
"Against The Grain 35K","Keith Stone"
"Vivant Cherry Dopplebock","ballpit"
"Liquid Hero Shirtless Dictator","Keith Stone"
"Breckenridge Pumpkin Latte Nitro","what is life"
"Shawneecraft Imperial Porter","what is life"
"Stillwater Oliver Whipped Nitro","arugula"
"Foreign Objects Solarys","ballpit"
"Hopfenstark Saison Station 55","what is life"
"Neshaminy Creek This Is Not The New Neshaminy Creek","Adam.jpg"
"Clown Shoes Moon Bear Stout","what is life"
"D9 The Cryonic","silly style"
"Evil Twin Breaking The Waves","what is life"
"Evil Twin Hazelnut Imperial Biscotti Break","justforkingaround"
"Southern Tier A Wrinkle In The Fabric","Adam.jpg"
"Firestone Walker Leo Vs Ursis Inferos","Uncle Bob"
"Fulton Hopstar Ipa","what is life"
"Conshohocken P-Ville","catch me outside"
"Flying Monkey Live Transmission","justforkingaround"
"Port Brewing Mongo","dunder"
"Ithaca Pulp Addiction","justforkingaround"
"Springdale Brigadeiro","arugula"
"Crossroads New Normal","Adam.jpg"
"Against The Grain Gegen Den Strom Knupp","what is life"
"Track 7 Brewing Left Eye Right Eye","catch me outside"
"Burial Visions Of A Valkyrie","dunder"
"Left Coast Hop Juice","jawn"
"Against The Grain Coq De Marche","Uncle Bob"
"Conshohocken Type A Ipa","justforkingaround"
"Neshaminy Creek Dunks Ferry","Adam.jpg"
"Riverhorse Citrus Maximus","Adam.jpg"
"Blue Point Citrus Plunge","silly style"
"Glutenberg Blonde","Uncle Bob"
"Leinenkugel Harvest","silly style"
"Two Roads No Limits Hefeweizen","silly style"
"Evil Twin Wet Dream","Uncle Bob"
"Crystal Ball Cold Weather","jawn"
"Manayunk The Weekender","arugula"
"Stillwater Shoegaze Ipa","something cool"
"Modern Times City Of The Dead Stout","ballpit"
"Two Roads Persian Lime","Keith Stone"
"Hermit Thrush Dark At 430","justforkingaround"
"Half Acre/Shorts Freedom Of '78","catch me outside"
"Against The Grain Clearly Everyone Wants Some","Uncle Bob"
"Stillwater The Cloud","ballpit"
"Stable 12 Razzle Dazzle","Adam.jpg"
"Port Brewing Nelson Greeter","silly style"
"Locust Lane Kolsch","capstone"
"Fulton Lonely Blonde","catch me outside"
"Flying Fish Jersey Juice","something cool"
"Against The Grain Zerbster Bitterbier","jawn"
"Foreign Objects Mind Body Light Sound","what is life"
"Evil Twin Kolata","Adam.jpg"
"Burial Massacre Of The Innocents","Uncle Bob"
"Decadent Ales Tropical Smoothie Dipa","justforkingaround"
"Springhouse Mosaic Must Be Destroyed","catch me outside"
"Track 7 Brewing Sukahop","Uncle Bob"
"2Sp Baby Bob Stout","catch me outside"
"Clown Shoes Galacticake","something cool"
"Urban Village Paper Trail","Keith Stone"
"Springhouse Irish Donuts","capstone"
"Evil Twin Even More Pecan Jesus","capstone"
"Decadent Ales Citra Citra Citra","what is life"
"Two Roads Road 2 Ruin","Adam.jpg"
"Root Sellers Himmel & Erde","dunder"
"Half Acre Double Daisy","jawn"
"Blue Point Beach Plum Gose","catch me outside"
"Blue Point Prop Stopper","ballpit"
"Peak Highball Mint Lime","ballpit"
"Conshohocken Puddlers Row Esb","what is life"
"Platform 9021 Gose","arugula"
"Half Acre Galactic Double Daisy Cutter","capstone"
"Flying Fish Hoppy Java Coffee Ipa","justforkingaround"
"Against The Grain Dopamines","Adam.jpg"
"Henniker Rustique","Uncle Bob"
"Track 7 Brewing Panic","arugula"
"Track 7 Brewing Hoppy Palm","something cool"
"Springdale Pearly","dunder"
"Heretic Evil3","Adam.jpg"
"Atwater Street Artist Ne Ipa","something cool"
"Locust Lane Game Day Ipa","jawn"
"Black Sheep Monty Python Holy Grail","capstone"
"Modern Times Critical Band","jawn"
"Conshohocken Ez-E Ipa","something cool"
"Peak Ripe","justforkingaround"
"Clown Shoes Undead Party Crasher","what is life"
"Marz Rubys Tears Gose","something cool"
"Platform City Boy Raspberry Berliner Weiss","what is life"
"Platform Disco Godfather","silly style"
"Omnipollo Shoutao","jawn"
"Long Trail Space Juice","capstone"
"Half Acre Akari Shogun","dunder"
"Jacks Abby Copper Legend","dunder"
"Half Acre Leadfeather","jawn"
"Peak The Juice","Keith Stone"
"Two Roads Lil Heaven","Keith Stone"
"Evil Twin Lowlife Pils","what is life"
"Stillwater Big Bunny","ballpit"
"Two Roads Clementine Gose","arugula"
"Black Hog Leaves A Mark","justforkingaround"
"Old Forge Plowshare","capstone"
"Foreign Objects What We All Want","arugula"
"Southern Tier All Is Well","silly style"
"Evil Twin Ceci N'Est Pas","jawn"
"Evil Twin Soul Made Ipa","justforkingaround"
"Decadent Ales French Toast","something cool"
"Ellicottville Somethin Hazee","arugula"
"Evil Twin Rhubarb Compote","dunder"
"Modern Times Nitro City Of The Dead","dunder"
"Against The Grain Bloody Show","capstone"
"Breckenridge Nitro Irish Stout","Uncle Bob"
"Black Hog Thc Ccc","what is life"
"Stillwater Levadura","Adam.jpg"
"Stillwater Spaced","arugula"
"Stillwater Wavvy","catch me outside"
"Fulton Standard Lager","Keith Stone"
"Fulton Sweet Child Of Vine","jawn"
"Left Hand Saison Au Genievre","what is life"
"Newport Storm Rhode Trip","Uncle Bob"
"Stable 12 West Coast Ipa","Uncle Bob"
"Hooker No Filter","silly style"
"Half Acre Deep Space Ipa","silly style"
"Half Acre Beer Hates Astronauts","dunder"
"Port Brewing Summer Pale Ale","capstone"
"Manayunk Side Piece","what is life"
"Jacks Abby Wicked Philthy","ballpit"
"Against The Grain A Beer","jawn"
"Platform Shanghai Noon","ballpit"
"Stable 12 Kolsch","capstone"
"Two Roads Plum Gose","silly style"
"Against The Grain Sho Nuff","catch me outside"
"Glutenberg Gose","something cool"
"Conshohocken Ease Up Hoppy Saison","dunder"
"Jacks Abby Spill The Tea","catch me outside"
"Hijinx 'Merica","catch me outside"
"Sly Fox Hop Project","capstone"
"Captain Lawrence Tropigose","what is life"
"Rivertowne Always Home Game Philly","jawn"
"Crossroads Outrage Ipa","arugula"
"Urban Village Wrong Way Hazy Ipa","dunder"
"Locust Lane Sugartown Simcoe","arugula"
"4Hands City Museum Pils","jawn"
"Foreign Objects Fascination Street","catch me outside"
"Foreign Objects Willful Delusions","Uncle Bob"
"Black Hog Ghost Rye'Da","silly style"
"Connecticut Valley Into The Woods","Adam.jpg"
"Von Trapp Double India Pale Lager","ballpit"
"Decadent Ales Double Toasted Marshmallow","dunder"
"Clown Shoes Exorcist","Adam.jpg"
"Conshohocken Dingo Ipa","Adam.jpg"
"Port Brewing High Tide","jawn"
"Dugges Fresh 13","jawn"
"Half Acre Fader","arugula"
"Kelsen Draken Robust Porter","ballpit"
"Stiegel Austrian Alpine Pack","catch me outside"
"Two Roads Pachamama","Adam.jpg"
"Against The Grain Kamen Knuddeln","ballpit"
"Against The Grain Rico Sauvin","ballpit"
"Evil Twin Molotov Lite","ballpit"
"Ridgeway Curious Collection Xmas Gift Pack","Uncle Bob"
"Stiegel Radler Zitrone","what is life"
"Stiegel Radler","what is life"
"Stone Ipa Anniv Mixed Case","something cool"
"Stone Arrogant Bastard Mixed Box","arugula"
"Breckenridge Xmas","Uncle Bob"
"Gaffel Kolsch","what is life"
"Einstok White Ale","Uncle Bob"
"Rhinelander Chocolate Bunny","something cool"
"Rhinelander Root Beer","ballpit"
"Over The Barrel Hard Grape","arugula"
"Over The Barrel Hard Blueberry","justforkingaround"
"Over The Barrel Hard Root Beer","what is life"
"Rhinelander Mystical Jack","ballpit"
"Tyskie (Poland)","silly style"
"Rhinelander Thumper Ipa","dunder"
"Rhinelander Traditional Ale","capstone"
"Over The Barrel Hard Ginger","catch me outside"
"Einstok Toasted Porter","arugula"
"Over The Barrel Hard Black Cherry","jawn"
"Over The Barrel Hard Cream Soda","Uncle Bob"
"Kostritzer Schwarzbier","dunder"
"Einstok Pale Ale","dunder"
"Over The Barrel Hard Apple","silly style"
"Leffe Abbey Brown","Keith Stone"
"Lakefront New Grist","something cool"
"Rogue Mocha Porter","something cool"
"Sierra Nevada Porter","jawn"
"Bells Expedition Stout","what is life"
"Left Hand Black Jack Porter","what is life"
"Anderson Valley Fall Hornin","dunder"
"Uinta Punkn Pumpkin","silly style"
"Dark Horse Sapient Tripel","something cool"
"Widmer Omission Ipa","something cool"
"Duclaw Neon Gypsy","Adam.jpg"
"Bear Republic Grand Am","catch me outside"
"Lagunitas Born Yesterday","silly style"
"New Belgium Gluten Free Golden Ale","arugula"
"Duclaw Bare Ass Blonde","something cool"
"Rogue 4 Hop Ipa","catch me outside"
"Sam Adam Rebel Grapefruit","silly style"
"Lagunitas Lucky 13","Keith Stone"
"Flying Dog Berliner Weiss","silly style"
"Jacks Abby Smoke & Dagger","justforkingaround"
"Blue Moon Cinnamon Horchata","justforkingaround"
"Two Roads Roadsmarys Baby","ballpit"
"Weyerbacher Ipa #2","catch me outside"
"Ithaca Hopkist","Adam.jpg"
"Ommegang Great Beyond Dipa","jawn"
"Flying Dog Grapefruit Radler","something cool"
"Flying Dog Single Hop Azacca","arugula"
"Two Roads Route Of All Evil","ballpit"
"Alesmith 394","capstone"
"Ithaca Hellish Lager","ballpit"
"Lagunitas High Westified","something cool"
"Harpoon Craic","what is life"
"Harpoon White Cider","what is life"
"Sam Adam Lager *4/6 Pack*","catch me outside"
"Blue Moon Belgian White *4/6 Pack*","Uncle Bob"
"New Belgium Voodoo Ipa","Adam.jpg"
"Cw Bourbon Barrel Stout *4/6 Pack*","capstone"
"Ithaca Mo Kolsch","capstone"
"Kona Kanaha","capstone"
"Two Roads Miles 2 Go","ballpit"
"Ballast Point Sour Wench","capstone"
"Duclaw Hop Hammer","arugula"
"Redhook Long Hammer","Adam.jpg"
"Lagunitas Eroica","Uncle Bob"
"Flying Dog S.O.B.","Keith Stone"
"Blue Point Blueberry Ale","jawn"
"Grieskirchner Lemon Radler","arugula"
"North Coast Acme Pale Ale","ballpit"
"Anderson Valley Boont Amber Ale","jawn"
"Shipyard Monkey Fist Ipa","capstone"
"Wiens Brewing Apricot Wheat","capstone"
"Penn Ipa","ballpit"
"Fish Tale Hodgsons Bitter End Ipa","jawn"
"Not Your Moms Iced Tea","catch me outside"
"Ithaca Raspberry Soiree","catch me outside"
"Duck Rabbit Wee Heavy Scotch Ale","catch me outside"
"Three Heads The Kind","what is life"
"Weyerbacher Sexy Motherpucker","dunder"
"Newport Storm Oktoberfest","what is life"
"Three Heads Strawberry Fields Lager","capstone"
"Ballast Point California Amber","justforkingaround"
"Mission Ipa","something cool"
"Port City Monumental Ipa","jawn"
"Harpoon Pumpkin Cider","ballpit"
"Penn Weizen","dunder"
"New Holland Ichabod Pumpkin","catch me outside"
"North Coast Scrimshaw Pils","something cool"
"Riverhorse Raspberry Tripel Horse","something cool"
"Cottrell Mystic Bridge Ipa","ballpit"
"Leinenkugel Watermelon *4/6 Pack*","dunder"
"Flying Dog Summer Rental","capstone"
"Excel Brewing Lefty Lager","Adam.jpg"
"Sam Adam Porch Rocker *4/6 Pack*","arugula"
"Captain Lawrence Sun Block Unfiltered","arugula"
"Left Hand Nitro Braveheart","silly style"
"Atwater Traverse City Cherry Wheat","Keith Stone"
"Yards Sons Of Ben","dunder"
"Alpine Windows Up","dunder"
"Stone Pataskala Red Ipa","Keith Stone"
"Kona Haneli Ipa","Adam.jpg"
"Evil Genius This One Time At Band Camp","arugula"
"Flying Dog Honey Paloma","Adam.jpg"
"Evolution Hops Limon Ipa","Uncle Bob"
"Summit Summer Ale","Keith Stone"
"Devils Backbone 16 Point Iipa","Keith Stone"
"Goose Island Juicy Double","capstone"
"Sierra Nevada Northern Hemisphere","what is life"
"Tall Tales Hood West Coast Ipa","something cool"
"Erie Oktoberfest","dunder"
"Bells Hell Hath No Fury","Uncle Bob"
"Victory Blackboard Series Black Forest Cake Stout","arugula"
"Penn St Nikolaus Bock","Uncle Bob"
"Roy Pitz Best Blonde","catch me outside"
"Starr Hill Front Row","arugula"
"Saugatuck Uncommonly Tweaked","Keith Stone"
"Von Trapp Vienna Lager","something cool"
"Three Heads Giant Panda Dub Style Ipa","arugula"
"Coronado Orange Avenue Wit","silly style"
"Breckenridge Ophelia","capstone"
"Lagunitas Daytime","dunder"
"Lagunitas Maximus","ballpit"
"Old Dominion Oak Brl Stout","capstone"
"Starr Hill The Love Wheat","silly style"
"Straub Amber","something cool"
"Anderson Valley Barney Flats Oatmeal Stout","dunder"
"Southampton Double White","ballpit"
"Ommegang Rare Vos","justforkingaround"
"Flying Fish Abbey Dubbel","Keith Stone"
"Harpoon Cider","justforkingaround"
"Lakefront Pumpkin Lager","Uncle Bob"
"Roy Pitz Sour Hound","ballpit"
"Duclaw For Petes Sake","Uncle Bob"
"Ballast Point Commodore","Keith Stone"
"Alewerks Washington Porter","arugula"
"Bells Oatsmobile","what is life"
"Firestone Walker Pivo Pils","arugula"
"Lagunitas Dogtown Ale","Uncle Bob"
"Harpoon Vanilla Bean Porter","Uncle Bob"
"Shorts Double Magician","something cool"
"Saugatuck Snow Wizard","Keith Stone"
"Lakefront Barrel Aged Pumpkin Lager","arugula"
"Three Heads Too Kind","ballpit"
"Leinenkugel Cranberry *4/6 Pack*","Keith Stone"
"Newport Storm Rhode Island Blueberry","justforkingaround"
"Alesmith Double Ipa","dunder"
"Boulder Shake Chocolate Porter","what is life"
"New Belgium Voodoo 8 Hop Pale Ale","jawn"
"Sam Adam Light *4/6 Pack*","Uncle Bob"
"Troegs Perpetual Ipa","ballpit"
"Sam Adam Cold Snap *4/6 Pack*","silly style"
"Flying Dog Salt And Pepper","jawn"
"Evil Genius Shut Up Meg","jawn"
"Saugatuck Mandarina Ipa","silly style"
"Tall Tales Excalibur Ipa","justforkingaround"
"Flying Dog White Peach Saison","jawn"
"Heavy Seas Pounder Pils","silly style"
"Coronado Berry The Hatchet","jawn"
"Lagunitas Tuberfest","arugula"
"Rusty Rail Blue Collar","Adam.jpg"
"Lancaster Jumpseat Black","dunder"
"Ballast Point Habanero Sculpin","catch me outside"
"Roy Pitz Lovitz Melon Lager","Uncle Bob"
"Genesee Ipa","silly style"
"Wyndridge 10 Pt Ale","arugula"
"Wyndridge Laugh Crow","silly style"
"Erie Soleil Shandy","catch me outside"
"Brooklyn Greenmarket Wheat","silly style"
"Ithaca Super Stout","arugula"
"Left Hand Nitro Hard Wire","what is life"
"Redhook Kcco","silly style"
"Kona Castaway Ipa","capstone"
"Straub Oktoberfest","Keith Stone"
"Redhook Winterhook","what is life"
"Penn Dark","Uncle Bob"
"North Coast Red Seal","Uncle Bob"
"Victory Blood Orange Ipa","justforkingaround"
"Atwater No Joke Joker Ipa","dunder"
"Devils Backbone Gold","arugula"
"Ballast Point Victory At Sea Coffee Vanilla","jawn"
"Ballast Point Longfin Lager","what is life"
"Otter Creek Drip Drop Coffee","Uncle Bob"
"New Belgium Sour Saison","ballpit"
"Flying Dog Snake Oil Black Lager","something cool"
"Atwater Better Life Choices Ipa","Adam.jpg"
"Saranac Tropical Storm Ipa","Uncle Bob"
"Von Trapp Kolsch","arugula"
"Flying Dog Alpha Initiative #2","silly style"
"Fat Head Bumble Berry","ballpit"
"Stoudts Blonde Double Maibock","Keith Stone"
"Saranac Strawberry Tarte","dunder"
"Susquehanna Sunny Spot","capstone"
"Iron Flamingo Ipa","catch me outside"
"Ommegang Fruition","something cool"
"Bells Mars","Uncle Bob"
"Lagunitas Waldo","Uncle Bob"
"Starr Hill Last Leaf","capstone"
"Lancaster Pumpkin","jawn"
"Saugatuck Oval Beach Blonde","what is life"
"Flying Dog Single Hop Lemon Drop","capstone"
"Mackjac Black Currant Passion","dunder"
"Mackjac Blood Orange Ginger","dunder"
"Dark Horse Kamikaze Kaleidoscope","Keith Stone"
"Kentucky Bourbon Vanilla Cream","Uncle Bob"
"Newport Storm Summer Hefeweizen","dunder"
"Excel Brewing El Pistolero","what is life"
"Heavy Seas Peg Leg Imperial Stout","silly style"
"Stone Enjoy Chocolate Coffee","catch me outside"
"Fish Tale Organic Pale Ale","arugula"
"Fairhope I Drink Therefore I Amber","capstone"
"Brooklyn Defender Ipa","justforkingaround"
"Harpoon Ufo Huckleberry","Keith Stone"
"Shipyard Summer Ale","Uncle Bob"
"Iron Flamingo Wit","Keith Stone"
"Erie Derailed","capstone"
"Southern Tier Why The Helles Not","what is life"
"Tall Tales Red Headed Step Child","capstone"
"Tommy Knocker Jack Whacker Wheat","something cool"
"Widmer Omission Light","jawn"
"Ballast Point Bonito Blonde","justforkingaround"
"Anchor Blackberry","dunder"
"Southern Tier 2X Xmas","capstone"
"Ellicottville Coldpresso","ballpit"
"Dock Street Bohemian Pilsner","Adam.jpg"
"Uinta Hop Nosh Grapefruit","silly style"
"Full Pint Social Ipa","jawn"
"Blue Moon Pumpkin *4/6 Pack*","something cool"
"Leinenkugel Anniversersary","catch me outside"
"Von Trapp Oktoberfest","silly style"
"Victory Blackboard Series Peach Belgian Blonde","justforkingaround"
"Dark Horse Obtuse Spruce","jawn"
"Lagunitas Willettized","capstone"
"Appalachian Chocolate Avenue Stout","Adam.jpg"
"Boulevard The 6 Th Glass","something cool"
"Saugatuck Starburst Wheat","catch me outside"
"Summit Old Blaggard","jawn"
"Alewerks Chesapeake Pake Ale","arugula"
"Lagunitas Stoopid Wit","silly style"
"Flying Dog Ancho Lime Paradise Lager","justforkingaround"
"Long Trail Cranberry Gose","capstone"
"Weyerbacher Tarte Blood Orange","ballpit"
"Alesmith Nut Brown","capstone"
"Lagunitas Brown Shugga","Uncle Bob"
"Long Trail Unearthed Stout *Do Not Sell In Northampton*","something cool"
"Ballast Point Watermelon Dorado","Adam.jpg"
"Lakefront Barrel Aged Cherry Lager","dunder"
"New Belgium Voodoo Ranger Imperial","silly style"
"Firestone Walker Luponic","Uncle Bob"
"Harpoon Cranberry Cider","Uncle Bob"
"Ballast Point Red Velvet (Nitro)","silly style"
"Newport Storm Spring Irish Red","capstone"
"Fish Tale Organic Amber Ale","dunder"
"New Belgium Whizbang Hoppy Blonde","ballpit"
"Cottrell Old Yankee Ale","silly style"
